Dataset	Seed	MCC	Accuracy	Recall	Specificity	Precision	F1
deepacppred_acp740	20	0.7394107618721496	0.8693877458572388	0.8773207902908325	0.864248526096344	0.8692497134208679	0.8724216231091806
deepacppred_acp740	21	0.7378027729759877	0.8680272221565246	0.8799539685249329	0.8537167310714722	0.8680583000183105	0.8725421681335469
deepacppred_acp740	22	0.7497631720982506	0.87619047164917	0.8866091966629028	0.8626050233840943	0.8699560284614563	0.8778119697528849
deepacppred_acp740	23	0.7315613814228975	0.8653061270713807	0.8458556056022644	0.8858813524246216	0.8858564257621765	0.865197880499711
deepacppred_acp740	24	0.7375265129627885	0.8693877577781677	0.8817380189895629	0.8619651794433594	0.8658060193061828	0.8717690839227036
deepacppred_acp740	25	0.700465142121275	0.8489795923233032	0.8514620065689087	0.8488124251365662	0.8548895239830017	0.8518568543683296
deepacppred_acp740	26	0.7420822307341588	0.8707482814788818	0.8665002346038818	0.8739336729049683	0.8795896172523499	0.8723233793855989
deepacppred_acp740	27	0.7436146541984654	0.8693877577781677	0.868605101108551	0.8736172318458557	0.8782939910888672	0.8706522923503568
deepacppred_acp740	28	0.7311060855131891	0.8653061270713807	0.8531935214996338	0.8781230926513672	0.8782831907272339	0.8650400543870009
deepacppred_acp740	29	0.7321753803418096	0.8653061270713807	0.8797584772109985	0.8499201893806457	0.8609550356864929	0.8691102369388636
deepacppred_hc	0	0.9169321467941965	0.9602446556091309	0.9679999947547913	0.9554455280303955	0.9307692050933838	0.9490196217669298
deepacppred_hc	1	0.8771759542063311	0.9418960213661194	0.9279999732971191	0.9504950642585754	0.920634925365448	0.9243027481816545
deepacppred_hc	2	0.8771759542063311	0.9418960213661194	0.9279999732971191	0.9504950642585754	0.920634925365448	0.9243027481816545
deepacppred_hc	3	0.8967857575758472	0.9510703086853027	0.9440000057220459	0.9554455280303955	0.9291338324546814	0.9365078964110862
deepacppred_hc	4	0.862619313852124	0.932721734046936	0.9599999785423279	0.9158415794372559	0.8759124279022217	0.9160305053112041
deepacppred_hc	5	0.8329402174236626	0.9204893112182617	0.9120000004768372	0.9257425665855408	0.8837209343910217	0.8976377976517941
deepacppred_hc	6	0.8556280319079738	0.9296635985374451	0.9520000219345093	0.9158415794372559	0.875	0.9118774046983075
deepacppred_hc	7	0.9244448715202721	0.963302731513977	0.984000027179718	0.9504950642585754	0.9248120188713074	0.9534883788984327
deepacppred_hc	8	0.911633654662028	0.9571865200996399	0.9760000109672546	0.9455445408821106	0.9172932505607605	0.9457364485467413
deepacppred_hc	9	0.9096979561900562	0.9571865200996399	0.9520000219345093	0.9603960514068604	0.9370078444480896	0.9444444700193275
deepacppred_hc	10	0.8672949258414083	0.9357798099517822	0.9520000219345093	0.9257425665855408	0.888059675693512	0.9189188855592976
deepacppred_hc	11	0.8742199493273876	0.9388379454612732	0.9599999785423279	0.9257425665855408	0.8888888955116272	0.9230769167284991
deepacppred_hc	12	0.845136963119011	0.9266055226325989	0.9120000004768372	0.9356435537338257	0.8976377844810486	0.904761899513272
deepacppred_hc	13	0.8704950522356477	0.9388379454612732	0.9200000166893005	0.9504950642585754	0.9200000166893005	0.9200000166893005
deepacppred_hc	14	0.8715689865482603	0.9388379454612732	0.9359999895095825	0.9405940771102905	0.9069767594337463	0.9212598155093101
deepacppred_hc	15	0.8594732005930737	0.932721734046936	0.9359999895095825	0.9306930899620056	0.8931297659873962	0.9140625221625679
deepacppred_hc	16	0.8257415156373646	0.9143730998039246	0.9440000057220459	0.896039605140686	0.8489208817481995	0.8939394364467018
deepacppred_hc	17	0.8289058845450846	0.9174311757087708	0.9279999732971191	0.9108911156654358	0.8656716346740723	0.8957528795031418
deepacppred_hc	18	0.85804916173322	0.932721734046936	0.9200000166893005	0.9405940771102905	0.9055117964744568	0.9126984135206231
deepacppred_hc	19	0.8390128073634789	0.9235473871231079	0.9120000004768372	0.9306930899620056	0.890625	0.901185800781919
